"missiontype"	"startyear"	"platform"	"missionnumber"	"serialnumber"	"catchsampleid"	"commonname"	"catchcategory"	"catchpartnumber"	"aphia"	"scientificname"	"identification"	"foreignobject"	"sampletype"	"group"	"conservation"	"catchproducttype"	"raisingfactor"	"catchweight"	"catchvolume"	"catchcount"	"abundancecategory"	"sampleproducttype"	"lengthmeasurement"	"lengthsampleweight"	"lengthsamplevolume"	"lengthsamplecount"	"specimensamplecount"	"agesamplecount"	"agingstructure"	"parasite"	"stomach"	"intestine"	"tissuesample"	"samplerecipient"	"catchcomment"
"11"	2021	"9553"	4	99585	1	"sei"	"164727"	1	"126441"	"Pollachius virens"	NA	NA	"20"	"26"	"1"	"1"	NA	1351	NA	353	NA	"1"	"E"	76.465	NA	20	20	20	"2"	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	4	99586	2	"sei"	"164727"	1	"126441"	"Pollachius virens"	NA	NA	"20"	"26"	"1"	"1"	NA	1234	NA	205	NA	"1"	"E"	120.58	NA	20	20	20	"2"	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	4	99587	2	"sei"	"164727"	1	"126441"	"Pollachius virens"	NA	NA	"20"	"26"	"1"	"1"	NA	737	NA	242	NA	"1"	"E"	60.95	NA	20	20	20	"2"	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	4	99588	1	"sei"	"164727"	1	"126441"	"Pollachius virens"	NA	NA	"20"	"26"	"1"	"1"	NA	755	NA	228	NA	"1"	"E"	66.2	NA	20	20	20	"2"	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	4	99589	1	"sei"	"164727"	1	"126441"	"Pollachius virens"	NA	NA	"20"	"26"	"1"	"1"	NA	1714	NA	368	NA	"1"	"E"	93.12	NA	20	20	20	"2"	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	4	99590	1	"sei"	"164727"	1	"126441"	"Pollachius virens"	NA	NA	"20"	"26"	"1"	"1"	NA	1739	NA	388	NA	"1"	"E"	89.53	NA	20	20	20	"2"	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	4	99591	1	"sei"	"164727"	1	"126441"	"Pollachius virens"	NA	NA	"20"	"26"	"1"	"1"	NA	1187	NA	267	NA	"1"	"E"	89.08	NA	20	20	20	"2"	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	4	99592	1	"sei"	"164727"	1	"126441"	"Pollachius virens"	NA	NA	"20"	"26"	"1"	"1"	NA	676	NA	140	NA	"1"	"E"	96.46	NA	20	20	20	"2"	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	4	99593	1	"sei"	"164727"	1	"126441"	"Pollachius virens"	NA	NA	"20"	"26"	"1"	"1"	NA	1109	NA	264	NA	"1"	"E"	84.09	NA	20	20	20	"2"	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	4	99594	1	"sei"	"164727"	1	"126441"	"Pollachius virens"	NA	NA	"20"	"26"	"1"	"1"	NA	1623	NA	402	NA	"1"	"E"	80.69	NA	20	20	20	"2"	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	4	99595	1	"sei"	"164727"	1	"126441"	"Pollachius virens"	NA	NA	"20"	"26"	"1"	"1"	NA	1321	NA	233	NA	"1"	"E"	113.4	NA	20	20	20	"2"	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	4	99596	1	"sei"	"164727"	1	"126441"	"Pollachius virens"	NA	NA	"20"	"26"	"1"	"1"	NA	1542	NA	411	NA	"1"	"E"	75.06	NA	20	20	20	"2"	NA	NA	NA	NA	NA	NA
