"missiontype"	"startyear"	"platform"	"missionnumber"	"serialnumber"	"catchsampleid"	"commonname"	"catchcategory"	"catchpartnumber"	"aphia"	"scientificname"	"identification"	"foreignobject"	"sampletype"	"group"	"conservation"	"catchproducttype"	"raisingfactor"	"catchweight"	"catchvolume"	"catchcount"	"abundancecategory"	"sampleproducttype"	"lengthmeasurement"	"lengthsampleweight"	"lengthsamplevolume"	"lengthsamplecount"	"specimensamplecount"	"agesamplecount"	"agingstructure"	"parasite"	"stomach"	"intestine"	"tissuesample"	"samplerecipient"	"catchcomment"
"19"	2020	"9000"	30	38001	1	"makrell"	"172414"	1	"127023"	NA	NA	NA	"23"	NA	"1"	"1"	NA	220000	NA	511474	NA	"1"	"E"	13.334	NA	31	31	30	"2"	NA	NA	NA	NA	NA	NA
"19"	2020	"9000"	30	38002	2	"makrell"	"172414"	1	"127023"	NA	NA	NA	"23"	NA	"2"	"1"	NA	255000	NA	595702	NA	"1"	"E"	6.421	NA	15	15	NA	"2"	NA	NA	NA	NA	NA	NA
"19"	2020	"9000"	30	38003	1	"makrell"	"172414"	1	"127023"	NA	NA	NA	"23"	NA	"2"	"1"	NA	2e+05	NA	517034	NA	"1"	"E"	10.831	NA	28	28	28	"2"	NA	NA	NA	NA	NA	NA
"19"	2020	"9000"	30	38004	1	"makrell"	"172414"	1	"127023"	NA	NA	NA	"23"	"20"	"2"	"1"	NA	3e+05	NA	750000	NA	"1"	"E"	10.4	NA	26	26	NA	"2"	NA	NA	NA	NA	NA	NA
"19"	2020	"9000"	30	38031	2	"makrell"	"172414"	1	"127023"	NA	NA	NA	"23"	NA	"2"	"1"	NA	150000	NA	362791	NA	"1"	"E"	10.75	NA	26	26	NA	"2"	NA	NA	NA	NA	NA	NA
"19"	2020	"9000"	30	38032	1	"makrell"	"172414"	1	"127023"	NA	NA	NA	"23"	NA	"2"	"1"	NA	225000	NA	591500	NA	"1"	"E"	13.694	NA	36	36	30	"2"	NA	NA	NA	NA	NA	NA
"19"	2020	"9000"	30	38033	2	"makrell"	"172414"	1	"127023"	NA	NA	NA	"23"	NA	"2"	"1"	NA	255000	NA	556506	NA	"1"	"E"	16.954	NA	37	37	30	"2"	NA	NA	NA	NA	NA	NA
"19"	2020	"9000"	30	38034	2	"makrell"	"172414"	1	"127023"	NA	NA	NA	"23"	NA	"2"	"1"	NA	55000	NA	114558	NA	"1"	"E"	13.443	NA	28	28	NA	"2"	NA	NA	NA	NA	NA	NA
"19"	2020	"9000"	30	38035	2	"makrell"	"172414"	1	"127023"	NA	NA	NA	"23"	NA	"2"	"1"	NA	410000	NA	960285	NA	"1"	"E"	9.82	NA	23	23	23	"2"	NA	NA	NA	NA	NA	NA
"19"	2020	"9000"	30	38036	1	"makrell"	"172414"	1	"127023"	NA	NA	NA	"23"	NA	"2"	"1"	NA	380000	NA	850746	NA	"1"	"E"	14.74	NA	33	33	NA	"2"	NA	NA	NA	NA	NA	NA
"19"	2020	"9000"	30	38045	1	"makrell"	"172414"	1	"127023"	NA	NA	NA	"23"	NA	"2"	"1"	NA	430000	NA	961229	NA	"1"	"E"	14.315	NA	32	32	30	"2"	NA	NA	NA	NA	NA	NA
"19"	2020	"9000"	30	38047	3	"makrell"	"172414"	1	"127023"	NA	NA	NA	"23"	"20"	"2"	"1"	NA	5e+05	NA	1157876	NA	"1"	"E"	17.273	NA	40	40	30	"2"	NA	NA	NA	NA	NA	NA
"19"	2020	"9000"	30	38048	3	"makrell"	"172414"	1	"127023"	NA	NA	NA	"23"	NA	"2"	"1"	NA	230000	NA	548926	NA	"1"	"E"	12.151	NA	29	29	29	"2"	NA	NA	NA	NA	NA	NA
"19"	2020	"9000"	30	38049	2	"makrell"	"172414"	1	"127023"	NA	NA	NA	"23"	NA	"2"	"1"	NA	5e+05	NA	1191164	NA	"1"	"E"	13.852	NA	33	33	30	"2"	NA	NA	NA	NA	NA	NA
"19"	2020	"9000"	30	38050	2	"makrell"	"172414"	1	"127023"	NA	NA	NA	"23"	NA	"2"	"1"	NA	298000	NA	671283	NA	"1"	"E"	11.986	NA	27	27	26	"2"	NA	NA	NA	NA	NA	NA
"19"	2020	"9000"	30	38051	2	"makrell"	"172414"	1	"127023"	NA	NA	NA	"23"	NA	"2"	"1"	NA	575000	NA	1170050	NA	"1"	"E"	21.623	NA	44	44	30	"2"	NA	NA	NA	NA	NA	NA
"19"	2020	"9000"	30	38052	1	"makrell"	"172414"	1	"127023"	NA	NA	NA	"20"	NA	"2"	"1"	NA	3e+05	NA	685835	NA	"1"	"E"	11.373	NA	26	26	26	"2"	NA	NA	NA	NA	NA	NA
